id,latitude,longitude,city,label,yr1970,yr1975,yr1980,yr1985,yr1990,yr1995,yr2000,yr2005,yr2010
1,35.6832085,139.8089447,Tokyo,Tokyo,23.3,26.61,28.55,30.3,32.53,33.59,34.45,35.62,36.67
2,28.6082802,77.2008133,New_Delhi,New Delhi,3.53,4.43,5.56,7.33,9.73,12.41,15.73,19.49,22.16
3,-23.5628395,-46.6546402,Sao_Paulo,Sao Paulo,7.62,9.61,12.09,13.39,14.78,15.95,17.1,18.65,20.26
4,18.93013,72.8300934,Mumbai,Mumbai,5.81,7.08,8.66,10.34,12.31,14.11,16.09,18.21,20.04
5,19.4319592,-99.1331635,Mexico_City,Mexico City,8.77,10.69,13.01,14.11,15.31,16.81,18.02,18.73,19.46
6,40.7820015,-73.8327026,New_York,New York,16.19,15.88,15.6,15.83,16.09,16.94,17.85,18.73,19.43
7,31.2551594,121.4747009,Shanghai,Shanghai,6.04,5.63,5.97,6.85,7.82,10.17,13.22,15.18,16.58
8,22.5650902,88.3707809,Kolkata,Kolkata,6.93,7.89,9.03,9.95,10.89,11.92,13.06,14.28,15.55
11,-34.6085091,-58.3734894,Buenos_Aires,Buenos Aires,8.1,8.74,9.42,9.96,10.51,11.15,11.85,12.55,13.07
12,34.0534897,-118.2453232,Los_Angeles,Los Angeles,8.38,8.93,9.51,10.18,10.88,11.34,11.81,12.3,12.76
13,39.9065704,116.3876495,Beijing,Beijing,4.43,4.83,5.37,6.02,6.79,8.14,9.76,11.45,12.39
14,-22.9121609,-43.1750107,Rio_de_Janeiro,Rio de Janeiro,6.64,7.56,8.58,9.09,9.59,10.17,10.8,11.37,11.95
15,14.58743,120.9836807,Manila,Manila,3.53,5,5.95,6.89,7.97,9.4,9.96,10.76,11.63
16,35.0763016,133.5659943,Osaka_Kobe,Osaka-Kobe,9.41,9.84,9.99,10.35,11.04,11.05,11.17,11.26,11.34
17,30.0444,31.2357,Cairo,Cairo,5.58,6.45,7.35,8.33,9.06,9.71,10.17,10.56,11
19,55.7569695,37.6150208,Moscow,Moscow,7.11,7.62,8.14,8.58,8.99,9.2,10,10.42,10.55
21,48.8569298,2.3412001,Paris,Paris,8.35,8.56,8.67,8.96,9.33,9.51,9.74,10.11,10.49
22,37.5150185,127.0164719,Seoul,Seoul,5.31,6.81,8.26,9.55,10.54,10.26,9.92,9.83,9.77
24,-6.1714902,106.8275223,Jakarta,Jakarta,3.92,4.81,5.98,7.01,8.18,8.32,8.39,8.79,9.21
25,41.8842506,-87.6324463,Chicago,Chicago,7.11,7.16,7.22,7.29,7.37,7.84,8.33,8.82,9.2
30,51.5064316,-0.12719,London,London,7.51,7.55,7.66,7.67,7.65,7.91,8.22,8.51,8.63
